name,gi,type,season,fact
Brown Rice,Low,Grain,Year-round,High fiber; retains the bran layer for slow digestion.
Black Rice (Kavuni),Low,Grain,Year-round,Rich in Anthocyanins; powerful local antioxidant.
Red Rice (Patni/Matta),Low,Grain,Year-round,High in Zinc and Iron; lower GI than white rice.
Hand-pounded Rice,Low,Grain,Year-round,Traditional processing; preserves natural minerals.
Basmati Rice (Steamed),Low,Grain,Year-round,Lower GI than short-grain rice if not overcooked.
Bamboo Rice (Moongil Arisi),Low,Grain,Monsoon,Collected from dried bamboo; very low GI.
Little Millet (Samalu),Low,Grain,Year-round,Rich in Magnesium; excellent for heart health.
Foxtail Millet (Korra),Low,Grain,Year-round,High in Protein and Fiber; ancient Indian staple.
Barnyard Millet (Oodalu),Low,Grain,Monsoon,Lowest calorie grain; ideal for weight management.
Kodo Millet (Arikelu),Low,Grain,Year-round,High antioxidant content; helps in blood purification.
Browntop Millet (Andu Korra),Low,Grain,Year-round,Richest source of fiber (12.5%) among millets.
Proso Millet (Variga),Low,Grain,Summer,High in Lecithin; supports the nervous system.
Pearl Millet (Bajra),Low,Grain,Winter,Provides internal warmth; drought-resistant crop.
Finger Millet (Ragi),Low,Grain,Year-round,Richest source of Calcium; sustainable ancient grain.
Sorghum (Jowar),Low,Grain,Year-round,Gluten-free; requires 60% less water than rice.
Amaranth (Rajgira),Low,Grain,Year-round,Pseudo-millet; complete protein with all amino acids.
Buckwheat (Kuttu),Low,Grain,Winter,Improves blood flow; local to Himalayan regions.
Flattened Rice (Brown Poha),Low,Grain,Year-round,Minimal processing; easy to digest breakfast.
Steel Cut Oats,Low,Grain,Year-round,High Beta-glucan fiber; slows glucose absorption.
Missi Roti (Besan-Wheat),Low,Grain,Year-round,High protein; gram flour lowers the overall GI.
Bajra Roti (Pearl Millet),Low,Grain,Winter,Traditional Rajasthani staple; high in fiber.
Jowar Bhakri (Sorghum),Low,Grain,Year-round,Hand-pressed flatbread; gluten-free and easy on gut.
Multi-grain Chapati,Low,Grain,Year-round,Mix of oats; ragi; and wheat for slower sugar release.
Methi Thepla,Low,Grain,Winter,Fenugreek leaves improve insulin response in this staple.
Moong Dal Idli,Low,Grain,Year-round,Lentil-based; much lower GI than rice-only idli.
Vegetable Upma (Millet),Low,Grain,Year-round,Use Foxtail or Little millet for a low-GI breakfast.
Toor Dal (Arhar),Low,Protein,Year-round,Most common Indian pulse; high folic acid.
Chana Dal (Bengal Gram),Low,Protein,Year-round,Lowest GI of all pulses; stabilizes sugar.
Urad Dal (White/Split),Low,Protein,Year-round,Essential for Dosa/Idli; high in fiber.
Moong Dal (Yellow Split),Low,Protein,Year-round,Easiest to digest; perfect for recovery meals.
Masoor Dal (Red Split),Low,Protein,Year-round,Fastest cooking; low carbon footprint.
Kala Chana (Black Chickpeas),Low,Protein,Year-round,High iron; lower GI than white chickpeas.
Rajma (Kidney Beans),Low,Protein,Year-round,High fiber; pair with millets for low GI.
Horse Gram (Kollu),Low,Protein,Winter,Hardiest legume; high in protein.
Paneer (Low Fat),Low,Protein,Year-round,Essential calcium source; keeps you full longer.
Tofu (Soya Paneer),Low,Protein,Year-round,Zero cholesterol; very low glycemic load.
Peanut Chutney (Palli),Low,Protein,Year-round,Healthy fats and protein; local tiffin side.
Flaxseed Podi (Alsi),Low,Protein,Year-round,Omega-3 rich powder; mix with idlis for healthy fats.
Soya Chunks (Mealmaker),Low,Protein,Year-round,Highest protein per gram; sustainable meat sub.
Bitter Gourd (Karela),Low,Veg,Summer,The Gold Standard for sugar management.
Drumstick Leaves (Munaga),Low,Veg,Year-round,Multivitamin of nature; zero miles.
Gongura (Sorrel),Low,Veg,Monsoon,High iron; local to South India.
